target,frequency,num_of_docs_occured
kilapanga,2,2
bend-skin,2,2
carranga,2,1
tarraxinha,2,2
hardcore breaks,2,2
skiladiko,2,2
tribal ambient,2,2
zoblazo,2,2
nederpop,2,2
trancestep,2,2
burger-highlife,2,1
heaven trap,2,1
tsonga disco,2,1
celtic metal,2,2
euphoric hardstyle,2,2
detroit techno,2,2
brazilian bass,2,2
brega funk,2,2
kidandali,2,2
anatolian rock,2,2
heikyoku,2,2
madchester,2,2
liedermacher,2,1
digital fusion,2,2
moutya,2,2
christian hip hop,2,2
samba de gafieira,2,2
dutch house,2,1
gamelan siteran,1,1
dansktop,1,1
utopian virtual,1,1
persian classical,1,1
nwobhm,1,1
riddim dubstep,1,1
crack rock steady,1,1
regional mexicano,1,1
japanese classical,1,1
dancefloor drum and bass,1,1
balearic trance,1,1
speed house,1,1
uk garage,1,1
big room trance,1,1
acidcore,1,1
vinahouse,1,1
kalon'ny fahiny,1,1
midtempo bass,1,1
nhạc vàng,1,1
son istmeño,1,1
skullstep,1,1
jackin house,1,1
changa tuki,1,1
bytebeat,1,1
chotis madrileño,1,1
sovietwave,1,1
salsa choke,1,1
nuevo cancionero,1,1
corrido tumbado,1,1
omutibo,1,1
power soca,1,1
cumbia peruana,1,1
pop kreatif,1,1
bubbling house,1,1
mashcore,1,1
jiangnan sizhu,1,1
yue opera,1,1
forró eletrônico,1,1
cante alentejano,1,1
baroque suite,1,1
cabo zouk,1,1
aboio,1,1
sufiana kalam,1,1
brill building,1,1
sierreño,1,1
pagode romântico,1,1
sertanejo raiz,1,1
sertanejo romântico,1,1
brit funk,1,1
moe song,1,1
kasékò,1,1
qaraami,1,1
cape jazz,1,1
berlin school,1,1
black ambient,1,1
moroccan chaabi,1,1
tradi-modern,1,1
al jeel,1,1
polka paraguaya,1,1
raggatek,1,1
beneventan chant,1,1
powerstomp,1,1
izvorna bosanska muzika,1,1
freeform hardcore,1,1
wong shadow,1,1
ragga hip-hop,1,1
anglican chant,1,1
urumi melam,1,1
cumbia colombiana,1,1
italo dance,1,1
neoclassical new age,1,1
post-britpop,1,1
indie surf,1,1
night full-on,1,1
britcore,1,1
trampská hudba,1,1
swancore,1,1
kliningan,1,1
sigidrigi,1,1
jerk rap,1,1
byzantine chant,1,1
persian pop,1,1
polca criolla,1,1
chicago soul,1,1
özgün müzik,1,1
future rave,1,1
korean ballad,1,1
neurohop,1,1
ytpmv,0,0
old roman chant,0,0
canzone d'autore,0,0
indo jazz,0,0
calipso venezolano,0,0
jesus music,0,0
zenonesque,0,0
iraqi maqam,0,0
tropicanibalismo,0,0
pop minang,0,0
kyivan chant,0,0
korean classical,0,0
jersey drill,0,0
orkes gambus,0,0
sigilkore,0,0
british brass band,0,0
cumbiatón,0,0
funk de bh,0,0
tecnomerengue,0,0
valsa brasileira,0,0
ambrosian chant,0,0
microtonal classical,0,0
ghetto funk,0,0
mozarabic chant,0,0
chicago drill,0,0
glitch hop edm,0,0
belgian techno,0,0
chinese classical,0,0
zeitoper,0,0
burmese classical,0,0
slushwave,0,0
tecnofunk,0,0
mambo chileno,0,0
barber beats,0,0
romantische oper,0,0
southeast asian classical,0,0
chicago blues,0,0
dark plugg,0,0
no melody trap,0,0
turkish classical,0,0
islamic modal music,0,0
west coast breaks,0,0
cinematic classical,0,0
vietnamese classical,0,0
canterbury scene,0,0
zarzuela barroca,0,0
forest psytrance,0,0
afropiano,0,0
dungeon rap,0,0
uk jackin,0,0
trap latino,0,0
alloukou,0,0
thai classical,0,0
maloya élektrik,0,0
menzuma,0,0
alternative r&b,0,0
birmingham sound,0,0
mambo urbano,0,0
native american new age,0,0
irish folk,0,0
pagodão,0,0
cocktail nation,0,0
future riddim,0,0
pon-chak disco,0,0
vietnamese bolero,0,0
detroit trap,0,0
rock andino,0,0
afro-cuban jazz,0,0
cumbia turra,0,0
cumbia mexicana,0,0
canto a lo poeta,0,0
chamarrita rioplatense,0,0
canto cardenche,0,0
splittercore,0,0
saya afroboliviana,0,0
electro latino,0,0
latin funk,0,0
cumbia norteña mexicana,0,0
onda nueva,0,0
chillsynth,0,0
murga uruguaya,0,0
bolero español,0,0
rock andaluz,0,0
oriental ballad,0,0
idol kayō,0,0
wonky techno,0,0
seto leelo,0,0
mulatós,0,0
ambient americana,0,0
electric texas blues,0,0
acoustic texas blues,0,0
country and irish,0,0
bakersfield sound,0,0
new orleans blues,0,0
central asian throat singing,0,0
narodnozabavna glasba,0,0
cape breton fiddling,0,0
kumiuta,0,0
gaelic psalm singing,0,0
neo-medieval folk,0,0
finnish tango,0,0
chamarrita açoriana,0,0
fado de coimbra,0,0
miejski folk,0,0
mood kayō,0,0
zhongguo feng,0,0
meiji shinkyoku,0,0
tecnorumba,0,0
beijing opera,0,0
james bay fiddling,0,0
ambient noise wall,0,0
balani show,0,0
algerian chaabi,0,0
congolese rumba,0,0
african blues,0,0
uk street soul,0,0
techno kayō,0,0
andalusian classical,0,0
appalachian folk,0,0
baltimore club,0,0
chanson à texte,0,0
neo kyma,0,0
chinese revolutionary opera,0,0
texas country,0,0
nyū myūjikku,0,0
louisiana blues,0,0
uk hardcore,0,0
texas blues,0,0
manila sound,0,0
nashville sound,0,0
philly soul,0,0
township bubblegum,0,0
funknejo,0,0
korean revolutionary opera,0,0
merequetengue,0,0
peak time techno,0,0
gorenoise,0,0
cadence lypso,0,0
tumbélé,0,0
flex dance music,0,0
rumba cubana,0,0
novo dub,0,0
dennery segment,0,0
fandango caiçara,0,0
brega calypso,0,0
arrocha sertanejo,0,0
piseiro,0,0
arrocha funk,0,0
batidão romântico,0,0
funk mandelão,0,0
funk proibidão,0,0
rasteirinha,0,0
arrochadeira,0,0
samba-joia,0,0
rasqueado cuiabano,0,0
tonada potosina,0,0
bogino duu,0,0
modern laiko,0,0
psystyle,0,0
comfy synth,0,0
celtic electronica,0,0
moogsploitation,0,0
nueva cumbia chilena,0,0
nueva canción española,0,0
trap shaabi,0,0
pacific reggae,0,0
malagueña venezolana,0,0
haitian vodou drumming,0,0
rawphoric,0,0
fm synthesis,0,0
uk funky,0,0
yu-mex,0,0
malay gamelan,0,0
balinese gamelan,0,0
cumbia argentina,0,0
chinese opera,0,0
bolero-beat,0,0
burmese mono,0,0
burmese stereo,0,0
winter synth,0,0
doskpop,0,0
akishibu-kei,0,0
nu style gabber,0,0
trap edm,0,0
chicago house,0,0
melbourne bounce,0,0
jersey sound,0,0
guaracha edm,0,0
hardgroove techno,0,0
festival progressive house,0,0
hard nrg,0,0
modern hardtek,0,0
florida breaks,0,0
colour bass,0,0
philly club,0,0
footwork jungle,0,0
jungle dutch,0,0
breakbeat kota,0,0
manyao,0,0
nerdcore techno,0,0
romanian popcorn,0,0
bérite club,0,0
dungeon sound,0,0
canzone neomelodica,0,0
donosti sound,0,0
meyxana,0,0
santé engagé,0,0
british rhythm & blues,0,0
euskal kantagintza berria,0,0
jamaican ska,0,0
lolicore,0,0
british blues,0,0
acoustic chicago blues,0,0
yakousei,0,0
american primitive guitar,0,0
russian romance,0,0
kawaii future bass,0,0
space rock revival,0,0
pop ghazal,0,0
odissi classical,0,0
baul gaan,0,0
cilokaq,0,0
sundanese pop,0,0
saluang klasik,0,0
tembang cianjuran,0,0
fon leb,0,0
volkstümliche musik,0,0
new orleans r&b,0,0
celtic new age,0,0
minneapolis sound,0,0
afro trap,0,0
kantan chamorrita,0,0
neue deutsche härte,0,0
pluggnb,0,0
neue deutsche welle,0,0
chicago bop,0,0
mobb music,0,0
memphis rap,0,0
drumless hip hop,0,0
arabesk rap,0,0
jovem guarda,0,0
beat bruxaria,0,0
nederbeat,0,0
dissonant death metal,0,0
british folk rock,0,0
alpenrock,0,0
burning spirits,0,0
neocrust,0,0
uk82,0,0
dunedin sound,0,0
hamburger schule,0,0
russian chanson,0,0
