target,frequency,num_of_docs_occured
gamelan salendro,4,4
shabad kirtan,4,4
nuevo cancionero,4,3
jovem guarda,4,4
brit funk,4,4
skullstep,4,4
latin disco,4,4
sertanejo raiz,4,4
dobrado,4,3
uk82,4,4
sufiana kalam,4,4
nueva canción chilena,4,4
extratone,4,3
musique concrète instrumentale,4,4
cabo zouk,3,3
future bounce,3,3
comfy synth,3,2
trancestep,3,3
zoblazo,3,3
hardwave,3,2
dhaanto,3,3
gamelan selunding,3,3
atmospheric sludge metal,3,3
maddahi,3,3
progressive psytrance,3,3
hybrid trap,3,3
power soca,3,3
alternative r&b,3,2
sarala gee,3,3
merecumbé,3,2
sertanejo romântico,3,2
izvorna bosanska muzika,3,3
gamelan sekaten,3,2
celtic new age,3,3
sigidrigi,3,3
gamelan beleganjur,3,3
gamelan gender wayang,3,3
q-pop,3,3
himene tarava,3,1
bard rock,3,3
mchiriku,3,3
technobanda,3,3
viking rock,3,2
jungle terror,3,2
dutch house,2,2
cumbia colombiana,2,2
dansktop,2,2
anglican chant,2,2
neoclassical new age,2,2
tchinkoumé,2,2
bhavageethe,2,2
tammurriata,2,2
kankyō ongaku,2,2
hard nrg,2,1
pagode romântico,2,2
ragga hip-hop,2,2
medieval lyric poetry,2,2
raggatek,2,2
florida breaks,2,2
gorenoise,2,2
salsa choke,2,2
dark plugg,2,1
baithak gana,2,2
speed house,2,2
regional mexicano,2,2
manila sound,2,2
sovietwave,2,1
scrumpy and western,2,2
tradi-modern,2,2
runo song,2,2
cantonese opera,2,2
space rock revival,2,1
baltimore club,2,2
chotis madrileño,2,2
tajaraste,2,2
wong shadow,2,2
picopop,2,2
qaraami,2,2
cubatón,2,2
bubbling house,2,2
heaven trap,2,1
berlin school,2,2
persian pop,2,2
big room trance,2,2
utopian virtual,2,2
cinematic classical,2,2
neo-medieval folk,2,2
neon pop punk,2,2
luk krung,2,1
hard trap,2,2
carranga,2,2
dungeon sound,1,1
afro-zouk,1,1
bytebeat,1,1
trampská hudba,1,1
onda nueva,1,1
epic collage,1,1
semi-trot,1,1
manyao,1,1
texas country,1,1
mashcore,1,1
afropiano,1,1
rock andaluz,1,1
avtorskaya pesnya,1,1
cape breton fiddling,1,1
nyū myūjikku,1,1
oriental ballad,1,1
dancefloor drum and bass,1,1
jamaican ska,1,1
jesus music,1,1
taquirari,1,1
djanba,1,1
chicago soul,1,1
vinahouse,1,1
forró eletrônico,1,1
nu style gabber,1,1
tumbélé,1,1
cumbia chilena,1,1
changa tuki,1,1
bomba del chota,1,1
biraha,1,1
neocrust,1,1
kasékò,1,1
minimal drum and bass,1,1
powerstomp,1,1
gamelan siteran,1,1
gamelan joged bumbung,1,1
pop kreatif,1,1
omutibo,1,1
tearout,1,1
cape jazz,1,1
nederpop,1,1
fantezi,1,1
brill building,1,1
jerk rap,1,1
neue deutsche welle,1,1
cante alentejano,1,1
korean ballad,1,1
zeitoper,1,1
african blues,1,1
jiangnan sizhu,1,1
future riddim,1,1
ambient americana,1,1
freeform hardcore,1,1
sigilkore,1,1
trova yucateca,1,1
kilapanga,1,1
celtic electronica,1,1
uk drill,1,1
modern laiko,1,1
pagodão,1,1
nova cançó,1,1
jackin house,1,1
digital fusion,1,1
kumiuta,1,1
peak time techno,1,1
al jeel,1,1
yue opera,1,1
crack rock steady,1,1
rom kbach,1,1
indo jazz,0,0
glitch hop edm,0,0
valsa brasileira,0,0
zhongguo feng,0,0
novo dub,0,0
ambrosian chant,0,0
meiji shinkyoku,0,0
british brass band,0,0
miejski folk,0,0
flex dance music,0,0
música de intervenção,0,0
byzantine chant,0,0
jersey drill,0,0
microtonal classical,0,0
neue deutsche härte,0,0
ytpmv,0,0
ambient noise wall,0,0
forest psytrance,0,0
zenonesque,0,0
trap latino,0,0
uk jackin,0,0
cumbia norteña mexicana,0,0
romantische oper,0,0
dungeon rap,0,0
canto cardenche,0,0
zarzuela barroca,0,0
swancore,0,0
mozarabic chant,0,0
calipso venezolano,0,0
canzone d'autore,0,0
beneventan chant,0,0
old roman chant,0,0
maloya élektrik,0,0
polka paraguaya,0,0
pop minang,0,0
son istmeño,0,0
kyivan chant,0,0
orkes gambus,0,0
saya afroboliviana,0,0
cumbiatón,0,0
funk de bh,0,0
electro latino,0,0
tecnomerengue,0,0
jazz guachaca,0,0
ghetto funk,0,0
birmingham sound,0,0
menzuma,0,0
chicago drill,0,0
trap edm,0,0
uk funky,0,0
tecnorumba,0,0
polca criolla,0,0
bolero español,0,0
alloukou,0,0
mambo urbano,0,0
murga uruguaya,0,0
night full-on,0,0
pon-chak disco,0,0
v-pop,0,0
nhạc vàng,0,0
vietnamese bolero,0,0
detroit trap,0,0
chamarrita rioplatense,0,0
no melody trap,0,0
rock andino,0,0
belgian techno,0,0
mambo chileno,0,0
dennery segment,0,0
tecnofunk,0,0
slushwave,0,0
cumbia peruana,0,0
movimiento alterado,0,0
west coast breaks,0,0
canto a lo poeta,0,0
native american new age,0,0
cumbia turra,0,0
samba-joia,0,0
bandinha,0,0
meyxana,0,0
tsonga disco,0,0
cumbia argentina,0,0
chinese opera,0,0
tembang cianjuran,0,0
saluang klasik,0,0
moutya,0,0
balani show,0,0
bolero-beat,0,0
burmese mono,0,0
burmese stereo,0,0
canzone neomelodica,0,0
akishibu-kei,0,0
donosti sound,0,0
techno kayō,0,0
burger-highlife,0,0
fon leb,0,0
algerian chaabi,0,0
kantan chamorrita,0,0
township bubblegum,0,0
acoustic texas blues,0,0
rawphoric,0,0
electric texas blues,0,0
merequetengue,0,0
mulatós,0,0
ethio-jazz,0,0
neo kyma,0,0
tonada potosina,0,0
yu-mex,0,0
james bay fiddling,0,0
malay gamelan,0,0
javanese gamelan,0,0
balinese gamelan,0,0
bogino duu,0,0
özgün müzik,0,0
minneapolis sound,0,0
andalusian classical,0,0
lolicore,0,0
burning spirits,0,0
santé engagé,0,0
russian romance,0,0
dunedin sound,0,0
hamburger schule,0,0
russian chanson,0,0
beat bruxaria,0,0
uk hardcore,0,0
moroccan chaabi,0,0
new orleans r&b,0,0
british rhythm & blues,0,0
uk street soul,0,0
yakousei,0,0
euskal kantagintza berria,0,0
acoustic chicago blues,0,0
chinese revolutionary opera,0,0
congolese rumba,0,0
alpenrock,0,0
appalachian folk,0,0
pop ghazal,0,0
chicago bop,0,0
drumless hip hop,0,0
chanson à texte,0,0
arabesk rap,0,0
afro trap,0,0
sundanese pop,0,0
nederbeat,0,0
kuda lumping,0,0
cilokaq,0,0
kliningan,0,0
louisiana blues,0,0
urumi melam,0,0
dissonant death metal,0,0
baul gaan,0,0
odissi classical,0,0
psystyle,0,0
haitian vodou drumming,0,0
malagueña venezolana,0,0
j-core,0,0
brega calypso,0,0
britcore,0,0
kalon'ny fahiny,0,0
tropicanibalismo,0,0
piseiro,0,0
arrocha funk,0,0
gaelic psalm singing,0,0
batidão romântico,0,0
funk mandelão,0,0
funk proibidão,0,0
finnish tango,0,0
seto leelo,0,0
rasteirinha,0,0
mood kayō,0,0
narodnozabavna glasba,0,0
kawaii future bass,0,0
american primitive guitar,0,0
rumba cubana,0,0
chamarrita açoriana,0,0
fandango caiçara,0,0
japanese classical,0,0
korean classical,0,0
vietnamese classical,0,0
thai classical,0,0
chinese classical,0,0
burmese classical,0,0
southeast asian classical,0,0
persian classical,0,0
turkish classical,0,0
islamic modal music,0,0
iraqi maqam,0,0
barber beats,0,0
fado de coimbra,0,0
deathstep,0,0
central asian throat singing,0,0
arrochadeira,0,0
afro house,0,0
melbourne bounce,0,0
chillsynth,0,0
nerdcore techno,0,0
romanian popcorn,0,0
bérite club,0,0
doskpop,0,0
fm synthesis,0,0
winter synth,0,0
beijing opera,0,0
moogsploitation,0,0
nueva cumbia chilena,0,0
nueva canción española,0,0
trap shaabi,0,0
korean revolutionary opera,0,0
skiladiko,0,0
pacific reggae,0,0
breakbeat kota,0,0
jungle dutch,0,0
footwork jungle,0,0
idol kayō,0,0
brazilian bass,0,0
jersey sound,0,0
kaneka,0,0
guaracha edm,0,0
hardgroove techno,0,0
zinli,0,0
festival progressive house,0,0
philly club,0,0
rasqueado cuiabano,0,0
arrocha sertanejo,0,0
modern hardtek,0,0
bakersfield sound,0,0
funknejo,0,0
country and irish,0,0
anatolian rock,0,0
